iter	RMSE
563	8597820.48
564	8589939.899
565	8584408.074
566	8577398.135
567	8569379.029
568	8559193.02
569	8554826.124
570	8550664.896
571	8545390.595
572	8541393.582
573	8537563.768
574	8525097.139
575	8521209.371
576	8509991.536
577	8498039.7
578	8480648.973
579	8471650.841
580	8465435.721
581	8461923.159
582	8458739.318
583	8449217.44
584	8436769.23
585	8430485.011
586	8425929.997
587	8422523.912
588	8419619.276
589	8408825.517
590	8385057.577
591	8379004.979
592	8367603.86
593	8360116.378
594	8345779.511
595	8329825.42
596	8326693.333
597	8316313.395
598	8309781.947
599	8304908.177
600	8296998.531
601	8292776.379
602	8279601.906
603	8270566.005
604	8258991.816
605	8250329.072
606	8247204.391
607	8238173.006
608	8225842.679
609	8215046.208
610	8199871.016
611	8191733.841
612	8183851.36
613	8173760.045
614	8165191.509
615	8145871.297
616	8134742.264
617	8125263.81
618	8118303.699
619	8106502.448
620	8103729.974
621	8073014.032
622	8063205.829
623	8050347.998
624	8035490.936
625	8027120.327
626	8022850.31
627	8016363.212
628	8009717.417
629	8000346.543
630	7993426.084
631	7984863.679
632	7978178.962
633	7975183.171
634	7959116.901
635	7955170.065
636	7949174.342
637	7937496.09
638	7934655.153
639	7931793.726
640	7926723.905
641	7912422.659
642	7897499.752
643	7883528.058
644	7871740.781
645	7867128.49
646	7858084.207
647	7841237.017
648	7821335.777
649	7802138.419
650	7796544.39
651	7782421.182
652	7772478.212
653	7764653.677
654	7756735.162
655	7747856.927
656	7744138.593
657	7731640.172
658	7713821.028
659	7699057.619
660	7695093.875
661	7691627.383
662	7677753.356
663	7673263.21
664	7666033.491
665	7658755.089
666	7650589.752
667	7645255.823
668	7637630.426
669	7630379.092
670	7621194.946
671	7603899.211
672	7595601.29
673	7587400.919
674	7581084.831
675	7572575.407
676	7569927.853
677	7561225.212
678	7549941.127
679	7538012.171
680	7535471.004
681	7532867.125
682	7526979.523
683	7524544.021
684	7522286.569
685	7520029.757
686	7516799.908
687	7507228.766
688	7504134.163
689	7498643.106
690	7491631.074
691	7485905.818
692	7477761.665
693	7447442.236
694	7439073.697
695	7433572.721
696	7431607.716
697	7430116.121
698	7422018.475
699	7394491.571
700	7387430.067
701	7379040.5
702	7354067.457
703	7344348.612
704	7335558.452
705	7329959.667
706	7320969.643
707	7313763.279
708	7312090.095
709	7300188.778
710	7294013.383
711	7286416.734
712	7275462.42
713	7268449.902
714	7258069.97
715	7244341.535
716	7237033.341
717	7228530.386
718	7219489.173
719	7212722.55
720	7206874.812
721	7204831.187
722	7196621.485
723	7188500.27
724	7186963.9
725	7185070.525
726	7174752.259
727	7172940.875
728	7166886.698
729	7162305.801
730	7153126.918
731	7151586.486
732	7145084.696
733	7141962.815
734	7134743.851
735	7123570.165
736	7115471.702
737	7108694.688
738	7099626.189
739	7090523.741
740	7089196.368
741	7083750.579
742	7078180.776
743	7072719.809
744	7068593.641
745	7062377.408
746	7052915.229
747	7051627.315
748	7047742.862
749	7031908.886
750	7022040.365
751	7017600.074
752	7013533.072
753	7007921.954
754	7002895.665
755	6989573.275
756	6983464.645
757	6975984.746
758	6970438.115
759	6965152.067
760	6955722.778
761	6952236.326
762	6942001.07
763	6928227.459
764	6918639.693
765	6905194.45
766	6895390.47
767	6890579.576
768	6883091.142
769	6873860.186
770	6867555.036
771	6862170.425
772	6860811.255
773	6856684.56
774	6848167.321
775	6841918.502
776	6838770.885
777	6833035.261
778	6822524.397
779	6815612.276
780	6809718.722
781	6805994.273
782	6805293.548
783	6800245.184
784	6796134.34
785	6790471.276
786	6779245.018
787	6776694.568
788	6773850.089
789	6772325.749
790	6765511.313
791	6761588.543
792	6747640.7
793	6740767.881
794	6735896.239
795	6728428.211
796	6715666.555
797	6710735.915
798	6708383.651
799	6706149.484
800	6701498.297
801	6696056.658
802	6686826.889
803	6686208.691
804	6681059.217
805	6678592.501
806	6669563.847
807	6662183.604
808	6661583.326
809	6654595.024
810	6652594.878
811	6650694.648
812	6650113.857
813	6645374.941
814	6634843.62
815	6634299.91
816	6631768.392
817	6625926.581
818	6625461.422
819	6621203.757
820	6614676.713
821	6614344.053
822	6613964.673
823	6612130.169
824	6609726.991
825	6603409.489
826	6603099.632
827	6599188.609
828	6594198.825
829	6590731.282
830	6590323.183
831	6582100.802
832	6572029.834
833	6565114.921
834	6563686.375
835	6560276.596
836	6551970.362
837	6542856.72
838	6537960.43
839	6534418.828
840	6531724.976
841	6521807.071
842	6517063.654
843	6511069.128
844	6509667.205
845	6507308.404
846	6501721.407
847	6496086.732
848	6495589.421
849	6494232.017
850	6489684.734
851	6485692.912
852	6480401.592
853	6477120.66
854	6471416.424
855	6467245.45
856	6460956.386
857	6441343.652
858	6435055.451
